頻道,日期,影片ID,標題,影片長度,觀看人數,網址
ctitv,20190326,Cjp5-dMsRHA,賣菜郎搶訂單！　韓國瑜廈門再簽9.3億農產,64,12359,https://youtu.be/Cjp5-dMsRHA
ctitv,20190326,Vg9vXUjAcA4,保護兒童抗空汙　企業捐清淨機給幼兒園,85,1441,https://youtu.be/Vg9vXUjAcA4
ctitv,20190326,8S59R_dCqgQ,李佳芬展俏皮！郵輪中心手機反拍媒體大陣仗,91,55257,https://youtu.be/8S59R_dCqgQ
ctitv,20190326,eO1lJ5ghX9U,推郵輪觀光及物流經濟　韓國瑜取經廈門港！,91,3646,https://youtu.be/eO1lJ5ghX9U
ctitv,20190326,8Eool1kMOHc,兩年前影片見證　韓國瑜助農民始終如一,89,80724,https://youtu.be/8Eool1kMOHc
ctitv,20190326,9qzdCaGHBqY,韓大方談「中華民國」　蔡酸：人走了後才說,115,2444,https://youtu.be/9qzdCaGHBqY
ctitv,20190326,dEqtVqmMqdQ,總統大熱門！　韓民調通殺　藍綠大咖邊緣化,101,7177,https://youtu.be/dEqtVqmMqdQ
ctitv,20190326,7NkJa6oVOuI,韓國瑜大陸行抵廈門　大批熱情韓粉迎接,112,40125,https://youtu.be/7NkJa6oVOuI
ctitv,20190326,EDv7UCvSqo8,高規格禮遇！　廈門封路、黑頭車護送韓國瑜,85,83281,https://youtu.be/EDv7UCvSqo8
ctitv,20190326,l6bzRpBrxQk,韓國瑜抵廈門臨時換飯店！　維安再升級,107,52962,https://youtu.be/l6bzRpBrxQk
ctitv,20190326,WgYk5pQuuyM,酒駕重罰！　立院三讀通過「加裝酒精鎖、連坐,116,1320,https://youtu.be/WgYk5pQuuyM
ctitv,20190326,fUsi-vWZWGM,武漢大學櫻花季　爆穿和服遊客與警衛衝突,74,453,https://youtu.be/fUsi-vWZWGM
ctitv,20190326,KQ15x4e2ggU,怕鋼條插車不敢剎　聯結車闖車陣4連撞,97,552,https://youtu.be/KQ15x4e2ggU
ctitv,20190326,PwY0u2Dalek,韓國瑜大陸行抵廈門　大批熱情韓粉迎接,108,5908,https://youtu.be/PwY0u2Dalek
ctitv,20190326,vuy8yrz0pdk,慣竊出獄　懷念「超商滋味」　吃霸王餐遭逮,59,208,https://youtu.be/vuy8yrz0pdk
ctitv,20190326,rbWtok7_BRk,南韓「少女時代」團員再聚首　粉絲超感動,108,924,https://youtu.be/rbWtok7_BRk
ctitv,20190326,rjR4-ldsmbM,不怕買到「爐碴屋」！　消保修法「預售屋契約」禁爐碴,104,247,https://youtu.be/rjR4-ldsmbM
ctitv,20190326,BFbQolRWEY4,擲筊5次沒結果　男偷神像裝塑膠袋拎走,81,348,https://youtu.be/BFbQolRWEY4
ctitv,20190326,yk3joyac4QM,課業壓力？少女遭「前人口仲介」拐離家、監器現斷點,85,588,https://youtu.be/yk3joyac4QM
ctitv,20190326,rhlYeOyLuag,創紀錄！　韓國瑜上任3個月　已簽64億訂單,99,19191,https://youtu.be/rhlYeOyLuag
ctitv,20190326,Q0zL14qrj0s,37歲生日！　彭于晏PO小時候可愛萌照,94,584,https://youtu.be/Q0zL14qrj0s
